AEther Searcher	乙太探寻客
Atraxa,Praetor's voice	魔判官之声亚崔夏
Attended Knight	扈伴骑士
Attrition	消耗战
Attune with Aether	乙太同调
Attunement	精细调整
Atzocan Archer	阿佐坎弓箭手
Audacious Infiltrator	大胆渗透者
Auger Spree	钻法无歇
Augmenting Automaton	强固机械兽
Augur il-Vec	维克黜人卜算师
Augur of Bolas	波拉斯卜算师
Augur of Skulls	颅骨卜算师
Augury Adept	卜算专家
Augury Owl	卜算猫头鹰
Auntie's Hovel	大婶小屋
Auntie's Snitch	大婶眼线
Aura Barbs	灵气芒刺
Aura Blast	灵气冲击波
Aura Extraction	灵气萃取
Aura Finesse	灵气巧技
Aura Flux	灵气泄裂
Aura Fracture	灵气裂隙
Aura Gnarlid	灵气糙节兽
Aura Graft	灵气移植
Aura Mutation	灵气突变
Aura Shards	灵气碎片
Aura Thief	灵气窃影
Aura of Dominion	支配灵气
Aura of Silence	静寂灵气
Auramancer	灵气法师
Auramancer's Guise	灵气法师面具
Auratog	灵气阿托格
Auratouched Mage	灵佑法师
Aurelia's Fury	欧瑞梨的怒火
Aurelia, the Warleader	战领欧瑞梨
Aurification	点金术
Auriok Bladewarden	欧瑞克剑卫
Auriok Champion	欧瑞克斗士
Auriok Edgewright	欧瑞克制刃兵
Auriok Glaivemaster	欧瑞克扫刀手
Auriok Replica	欧瑞克摹制品
Auriok Salvagers	欧瑞克修护士
Auriok Siege Sled	欧瑞克攻城磁橇
Auriok Steelshaper	欧瑞克塑铁军
Auriok Sunchaser	欧瑞克逐日者
Auriok Survivors	欧瑞克幸存者
Auriok Transfixer	欧瑞克停机手
Auriok Windwalker	欧瑞克风渡师
Aurochs	原牛
Aurochs Herd	原牛大群
Aurora Eidolon	曙光幻灵
Aurora Griffin	曙光狮鹫
Aurora of Emrakul	伊莫库极光
Auspicious Ancestor	祥兆祖灵
Austere Command	严峻指命
Authority (Appeal/Authority)	权威 (吸引/权威)
Authority of the Consuls	执政官威权
Autochthon Wurm	原生亚龙
Autumn Willow	秋柳
Autumn's Veil	秋色帘幕
Autumn-Tail, Kitsune Sage	贤狐秋尾
Autumnal Gloom	秋色暗影
Avacyn's Collar	艾维欣颈环
Avacyn's Judgment	艾维欣的裁决
Avacyn's Pilgrim	艾维欣朝圣客
Avacyn, Angel of Hope	希望天使艾维欣
Avacyn, Guardian Angel	守护天使艾维欣
Avacyn, the Purifier	净罪天使艾维欣
Avacynian Missionaries	艾维欣传教士
Avacynian Priest	艾维欣僧侣
Avalanche	雪崩
Avalanche Riders	山崩骑兵
Avalanche Tusker	崩击獠象
Avarax	阿帕垒兽
Avarice Amulet	贪欲护身符
Avarice Totem	贪欲图腾像
Avaricious Dragon	贪戾巨龙
Avatar of Discord	走调化身
Avatar of Fury	怒火化身
Avatar of Hope	希望化身
Avatar of Might	瀚力化身
Avatar of Slaughter	愤怒化身
Avatar of Will	意志化身
Avatar of Woe	灾祸化身
Avatar of the Resolute	坚毅化身
Aven Archer	艾文箭手
Aven Augur	艾文卜算师
Aven Battle Priest	艾文战斗僧侣
Aven Brigadier	艾文准将
Aven Cloudchaser	艾文逐云战士
Aven Envoy	艾文特使
Aven Farseer	艾文预言师
Aven Fateshaper	造命艾文
Aven Fisher	艾文渔人
Aven Fleetwing	迅翼艾文
Aven Flock	艾文信众
Aven Fogbringer	扬雾艾文
Aven Initiate	艾文祀徒
Aven Liberator	艾文解放者
Aven Mimeomancer	艾文分印术士
Aven Mindcensor	艾文核灵师
Aven Redeemer	艾文赎世僧
Aven Reedstalker	伏苇艾文
Aven Riftwatcher	艾文时缝看守
Aven Shrine	艾文祭祠
Aven Skirmisher	艾文侦卫
Aven Smokeweaver	艾文织烟师
Aven Soulgazer	艾文灵视师
Aven Squire	艾文扈从
Aven Sunstriker	晖击艾文
Aven Surveyor	勘探艾文
Aven Tactician	艾文策士
Aven Trailblazer	开拓艾文
Aven Trooper	艾文武装兵
Aven Warcraft	艾文兵法
Aven Warhawk	艾文战鹰
Aven Wind Guide	风兆艾文
Aven Windreader	艾文风信师
Aven of Enduring Hope	美愿艾文
Avenger en-Dal	达奥族复仇者
Avenger of Zendikar	赞迪卡复仇者
Avenging Angel	复仇天使
Avenging Arrow	复仇箭
Avenging Druid	复仇德鲁依
Avian Changeling	舞空化形
Aviary Mechanic	停机库技师
Avid Reclaimer	热切垦殖师
Avizoa	佐雅飞兽
Avoid Fate	逃避宿命
Awaken the Ancient	唤醒先人
Awaken the Bear	醒觉熊性
Awaken the Sky Tyrant	天龙觉醒
Awakener Druid	醒眠德鲁伊
Awakening	觉醒
Awakening Zone	觉醒区域
Away (Far/Away)	消失 (遥远/消失)
Awe Strike	一击之威
Awe for the Guilds	敬畏公会
Awesome Presence	敬畏示现
Awoken Horror	觉醒惧兽
Axebane Guardian	禁伐林守护者
Axebane Stag	禁伐林鹿
Axegrinder Giant	磨斧巨人
Axelrod Gunnarson	阿塞罗甘纳森
Axis of Mortality	凡命旋轴
Ayesha Tanaka	田中亚耶纱
Ayli, Eternal Pilgrim	坚信朝圣客艾栗
Aysen Abbey	爱森修道院
Aysen Bureaucrats	爱森的官员
Aysen Crusader	爱森圣战军
Aysen Highway	爱森大道
Ayumi, the Last Visitor	终境访客亚榆身
Azami, Lady of Scrolls	万卷蓟夫人
Azamuki, Treachery Incarnate	背信邪道痣矛奇
Azcanta, the Sunken Ruin	沉没废墟阿兹坎特
Azimaet Drake	阿基迈龙兽
Azor's Elocutors	俄佐朗诵人
Azorius Aethermage	俄佐立乙太法师
Azorius Arrester	俄佐立逮捕人
Azorius Chancery	俄佐立衡平法院
Azorius Charm	俄佐立护符
Azorius Cluestone	俄佐立示石
Azorius First-Wing	俄佐立先锋
Azorius Guildgate	俄佐立公会门
Azorius Guildmage	俄佐立公会法师
Azorius Herald	俄佐立传令使
Azorius Justiciar	俄佐立大司法
Azorius Keyrune	俄佐立符镇兵
Azorius Ploy	俄佐立手法
Azorius Signet	俄佐立印记
Azure Drake	碧蓝龙兽
Azure Mage	碧蓝法师
Azusa, Lost but Seeking	云游者梓纱
Back from the Brink	边缘归来
Back to Basics	反璞归真
Back to Nature	归返自然
Backdraft	反斜度
Backfire	反噬
Backlash	反挫
Backslide	路走回头
Backup Plan	后备计划
Backwoods Survivalists	蛮荒林求生家
Bad Moon	邪恶之月
Bad River	腐败河流
Badlands	荒地
Baki's Curse	巴奇的诅咒
Baku Altar	食梦兽祭坛
Bala Ged Scorpion	巴勒格蝎子
Bala Ged Thief	巴勒格窃贼
Balance	均势
Balance of Power	均衡力
Balancing Act	维持均势
Balduvian Barbarians	博都维亚野蛮人
Balduvian Bears	博都维熊
Balduvian Conjurer	博都维咒法师
Balduvian Dead	博都维亡者
Balduvian Fallen	博都维堕落者
Balduvian Frostwaker	博都维唤霜师
Balduvian Horde	博都维亚部族
Balduvian Hydra	博都维多头龙
Balduvian Rage	博都维之怒
Balduvian Shaman	博都维祭师
Balduvian Trading Post	博都维交易站
Balduvian War-Makers	博都维掀战人
Balduvian Warlord	博都维军阀
Balefire Dragon	炎劫巨龙
Balefire Liege	葬火王侯
Baleful Ammit	恶邪阿米特
Baleful Eidolon	恶邪幻灵
Baleful Force	恶毒元气兽
Baleful Stare	威迫的眼神
Baleful Strix	恶邪枭
Ball Lightning	爆雷炼球
Ballista Charger	巨弩冲锋车
Ballista Squad	巨弩小队
Balloon Peddler	气球小贩
Ballot Broker	贿选掮客
Ballynock Cohort	巴立纳助拳人
Ballynock Trapper	巴立纳布陷人
Ballyrush Banneret	巴立卢掌旗
Balm of Restoration	恢复之膏
Baloth Cage Trap	巴洛西囚笼陷阱
Baloth Null	巴洛西躯壳
Baloth Pup	巴洛西幼兽
Baloth Woodcrasher	闯林巴洛西
Balshan Beguiler	波珊骗徒
Balshan Collaborator	波珊内贼
Balshan Griffin	波珊狮鹫
Balthor the Defiled	污秽的巴铎
Balthor the Stout	刚勇的巴铎
Balustrade Spy	栏外探子
Bamboozle	哄骗
Bandage	包扎
Bane Alley Blackguard	灾祸巷黑市护卫
Bane Alley Broker	灾祸巷掮客
Bane of Bala Ged	巴勒格灾祸
Bane of Hanweir	翰威孽种
Bane of Progress	进展灾祸
Bane of the Living	夺命邪祟
Banefire	禁咒焰
Baneful Omen	有害预兆
Baneslayer Angel	破邪天使
Banewasp Affliction	食肉蜂纠缠
Banewhip Punisher	驱邪鞭手
Banisher Priest	逐令僧侣
Banishing Knack	逐退心法
Banishing Light	驱逐明光
Banishing Stroke	驱逐一击
Banishment Decree	逐令裁决
Banners Raised	旗帜升起
Banshee	女妖
Banshee of the Dread Choir	齐嚎女妖
Banshee's Blade	女妖之刃
Bant Battlemage	班特战法术师
Bant Charm	班特护符
Bant Panorama	班特全景
Bant Sojourners	班特旅居者
Bant Sureblade	班特准锋兵
Bar the Door	闩住大门
Baral's Expertise	巴罗的专才
Baral, Chief of Compliance	监察长巴罗
Barbarian Bully	恶霸蛮人
Barbarian General	蛮族将领
Barbarian Guides	野蛮人向导
Barbarian Horde	蛮族部落
Barbarian Lunatic	蛮族狂人
Barbarian Outcast	蛮族黜人
Barbarian Riftcutter	裂岩野蛮人
Barbarian Ring	蛮族决斗擂台
Barbary Apes	巴巴利猿猴
Barbed Battlegear	带刺武装
Barbed Field	刺棘原野
Barbed Foliage	倒勾叶网
Barbed Lightning	强劲闪电
Barbed Sextant	带刺六分仪
Barbed Shocker	带刺电击虫
Barbed Sliver	倒勾裂片妖
Barbed Wire	刺铁丝
Barbed-Back Wurm	剑背亚龙
Barbtooth Wurm	倒钩齿亚龙
Bargain	交易
Bargaining Table	谈判桌
Barishi	巴立西
Barkhide Mauler	虐杀树皮兽
Barkshell Blessing	树皮甲加持
Barktooth Warbeard	战须巴图斯
Barl's Cage	巴洛的兽栏
Baron Sengir	辛格氏男爵
Barony Vampire	庄园吸血鬼
Barrage Ogre	猛掷食人魔
Barrage Tyrant	猛掷暴君
Barrage of Boulders	巨石齐落
Barrage of Expendables	炮灰投射
Barrel Down Sokenzan	杀下霜剑山
Barreling Attack	一鼓作气
Barren Glory	荒芜之耀
Barren Moor	贫瘠湿地
Barrenton Cragtreads	八连屯峭行人
Barrenton Medic	八连屯医护员
Barricade Breaker	屏障粉碎械
Barrin's Codex	巴林的手抄本
Barrin's Spite	巴林之怨
Barrin's Unmaking	巴林的拆解
Barrin, Master Wizard	魔法大师巴林
Barrow Ghoul	土冢食尸鬼
Bartel Runeaxe	符文斧巴帖儿
Barter in Blood	鲜血交易
Baru, Fist of Krosa	克洛萨之拳巴鲁
Basal Sliver	立基裂片妖
Basal Thrull	索尔兽之基
Basalt Gargoyle	玄武岩石像鬼
Basalt Golem	玄武岩魔像
Basalt Monolith	玄武巨石
Basandra, Battle Seraph	战斗炽天使芭珊卓
Bash to Bits	砸碎
Basilica Guards	大教堂守卫
Basilica Screecher	大教堂鸣蝠
Basilisk Collar	蜥怪颈环
Basking Rootwalla	沐日萝特瓦拉
Bassara Tower Archer	巴萨刺塔弓箭手
Bastion Enforcer	骁勇堡执法者
Bastion Inventor	骁勇堡发明家
Bastion Mastodon	堡垒乳齿象
Bastion Protector	堡垒铁卫
Bathe in Dragonfire	龙炎覆身
Bathe in Light	浸浴明光
Baton of Courage	勇气哨棒
Baton of Morale	士气哨棒
Battered Golem	老旧魔像
Batterhorn	破城角兽
Battering Craghorn	冲击崖角兽
Battering Krasis	冲击融合体
Battering Ram	攻城槌
Battering Sliver	冲击裂片妖
Battering Wurm	冲击亚龙
Batterskull	颅击槌
Battery (Assault/Battery)	冲击 (冲击/突袭)
Battle Brawler	战斗喧哗兵
Battle Cry	战嚎
Battle Frenzy	战斗狂乱
Battle Hurda	战斗荷得
Battle Hymn	战斗赞歌
Battle Mastery	精研战技
Battle Rampart	战斗壁垒
Battle Screech	战呼
Battle Sliver	战斗裂片妖
Battle Squadron	战斗航空队
Battle Strain	久战劳伤
Battle at the Bridge	桥头激战
Battle of Wits	斗智
Battle-Mad Ronin	嗜杀浪人
Battle-Rattle Shaman	战响祭师
Battlefield Forge	战场融炉
Battlefield Medic	战场医护兵
Battlefield Percher	战场飞鸟
Battlefield Scavenger	战场清理客
Battlefield Scrounger	战场搜括者
Battlefield Thaumaturge	战场奇术师
Battleflight Eagle	战翔鹰
Battlefront Krushok	前线寇犀
Battlegate Mimic	斗门拟态妖
Battlegrace Angel	战华天使
Battleground Geist	战地游魂
Battlegrowth	备战成长
Battletide Alchemist	战局炼金术士
Battlewand Oak	战杖橡树
Battlewise Aven	善战艾文
Battlewise Hoplite	善战重装步兵
Battlewise Valor	智兵团之勇
Batwing Brume	蝠翼如雾
Bay Falcon	海湾猎鹰
Bayou	支流
Bayou Dragonfly	河沼蜻蜓
Bazaar Krovod	市集克瓦兽
Bazaar Trader	市集贩商
Bazaar of Baghdad	巴格达市集
Bazaar of Wonders	神奇市集
Beacon Behemoth	信标贝西摩斯
Beacon Hawk	信标翔鹰
Beacon of Creation	创生信标
Beacon of Destiny	命运指引人
Beacon of Destruction	毁灭信标
Beacon of Immortality	永生信标
Beacon of Tomorrows	来日信标
Beacon of Unrest	不息信标
Bear Cub	幼熊
Bear Umbra	熊本影
Bear's Companion	巨熊旅伴
Bearer of Overwhelming Truths	悟真客
Bearer of Silence	静默载体
Bearer of the Heavens	擎天巨人
Bearscape	观熊谷
Beast Attack	野兽袭击
Beast Hunt	狩猎野兽
Beast Walkers	兽人行者
Beast Within	体内野兽
Beast of Burden	重驮兽
Beastbreaker of Bala Ged	巴勒格伏兽师
Beastcaller Savant	召兽学者
Beastmaster Ascension	兽侯腾扬
Beastmaster's Magemark	驯兽师法印
Beasts of Bogardan	博卡登野兽
Beck (Beck/Call)	招引 (招引/呼叫)
Beckon Apparition	诱引亡灵
Become Immense	巨身咒
Bedlam	喧嚣
Bedlam Reveler	骚乱欢魔
Bee Sting	蜂刺
Beetleback Chief	虫背酋长
Beetleform Mage	虫身法师
Befoul	污损
Beguiler of Wills	惑志师
Behemoth Sledge	贝西摩斯锤
Behemoth's Herald	贝西摩斯传令
Behind the Scenes	幕后作业
Behold the Beyond	异界之力
Belbe's Armor	贝尔蓓之铠
Belbe's Percher	贝尔蓓的飞鸟
Belbe's Portal	贝尔蓓的时光通道
Belfry Spirit	钟楼精怪
Believe (Reason/Believe)	相信 (理性/相信)
Belligerent Brontodon	好战霆伟龙
Belligerent Hatchling	好斗幼雏
Belligerent Sliver	好斗裂片妖
Belligerent Whiptail	好斗鞭尾亚龙
Bellowing Aegisaur	嚎吼卫护龙
Bellowing Fiend	嚎吼恶魔
Bellowing Saddlebrute	嚎吼巨兽骑士
Bellowing Tanglewurm	嚎吼铬铜林亚龙
Bellows Lizard	嚎吼蜥蜴
Belltoll Dragon	鸣钟巨龙
Belltower Sphinx	钟塔史芬斯
Beloved Chaplain	受锺爱的牧师
Ben-Ben, Akki Hermit	恶鬼贤者班班
Benalish Cavalry	宾纳里亚骑兵
Benalish Commander	宾纳里亚指挥官
Benalish Emissary	宾纳里亚密使
Benalish Heralds	宾纳里亚传令兵
Benalish Hero	宾纳里城的英雄
Benalish Infantry	宾纳里亚步兵
Benalish Knight	宾纳里亚骑士
Benalish Lancer	宾纳里亚枪骑兵
Benalish Missionary	宾纳里亚传教士
Benalish Trapper	宾纳里亚布陷兵
Benalish Veteran	宾纳里亚老兵
Bend or Break	不顺者夷
Beneath the Sands	扬砂复碧
Benediction of Moons	月下祈福
Benefaction of Rhonas	罗纳斯的恩惠
Benefactor's Draught	施恩药剂
Benevolent Ancestor	善心祖灵
Benevolent Bodyguard	善心护卫
Benevolent Offering	善心乐施
Benevolent Unicorn	善心独角兽
Benthic Behemoth	深洋贝西摩斯
Benthic Djinn	深洋巨灵
Benthic Explorers	深洋探险家
Benthic Giant	深海巨人
Benthic Infiltrator	深海渗透体
Benthicore	深河精
Bequeathal	遗赠
Bereavement	如丧考妣
Berserk	狂暴术
Berserk Murlodont	狂暴墨罗顿兽
Berserkers of Blood Ridge	血山脊狂战士
Berserkers' Onslaught	狂战士猛攻
Beseech the Queen	恳求女王
Besmirch	弄脏
Bestial Fury	野兽怒火
Bestial Menace	野兽威胁
Betrayal	背叛
Betrayal of Flesh	肉身背叛
Betrothed of Fire	火之婚约
Bewilder	茫然不已
Bident of Thassa	塔萨的双叉戟
Bifurcate	分支
Big Game Hunter	巨兽猎人
Bile Blight	枯胆恶疾
Bile Urchin	乖戾促狭鬼
Bind	束缚
Binding Agony	苦痛捆缚
Binding Grasp	咒缚的驾驭力
Binding Mummy	捆缚木乃伊
Biomantic Mastery	通晓生体工法
Biomass Mutation	巨量突变
Bioplasm	生体原质怪
Biorhythm	生理韵律
Bioshift	生机转移
Biovisionary	生机创见师
Birchlore Rangers	桦智护林兵
Bird Maiden	少女鸟
Birds of Paradise	天堂鸟
Birthing Hulk	育裔巨体
Birthing Pod	诞生荚
Bishop of Rebirth	重生主教
Bishop of the Bloodstained	沥血团主教
Bishop's Soldier	主教的士兵
Bite of the Black Rose	黑蔷薇之刺
Biting Rain	利齿雨
Biting Tether	刺痛栓链
Bitter Feud	苦涩世仇
Bitter Ordeal	苦涩折磨
Bitter Revelation	苦涩启示
Bitterblade Warrior	毒刃战士
Bitterblossom	苦涩花开
Bitterbow Sharpshooters	刺骨弓神射手
Bitterheart Witch	仇心女巫
Bituminous Blast	沥青冲击
Black Carriage	黝黑马车
Black Cat	黑猫
Black Knight	黑骑士
Black Lotus	黑莲花
Black Mana Battery	黑魔法力电池
Black Market	黑市
Black Oak of Odunos	俄渡诺陵黑橡树妖
Black Poplar Shaman	黑杨祭师
Black Scarab	黑色圣甲虫
Black Sun's Zenith	黑阳当空
Black Vise	暗黑之老虎钳
Black Ward	黑色守护
Blackcleave Cliffs	暗峰山崖
Blackcleave Goblin	暗峰鬼怪
Blackmail	勒索
Blade Sliver	锋刃裂片妖
Blade Splicer	锋刃接合师
Blade of Selves	众我长剑
Blade of the Bloodchief	血侯之刃
Blade of the Sixth Pride	六战群之刃
Blade-Tribe Berserkers	剑族狂战士
Bladed Bracers	锋刃护臂
Bladed Pinions	锋刃翅翼
Bladed Sentinel	锋刃哨兵
Blademane Baku	刃鬃食梦兽
Blades of Velis Vel	贝理贝之刃
Bladetusk Boar	刃牙野猪
Bladewing the Risen	复生者锋翼
Bladewing's Thrall	锋翼尸奴
Blanchwood Armor	白木甲
Blanchwood Treefolk	白木树妖
Blanket of Night	夜之毡
Blasphemous Act	渎神行径
Blast of Genius	智慧爆发
Blasted Landscape	枯萎荒地
Blaster Mage	爆烈法师
Blastfire Bolt	爆炎击
Blasting Station	爆破工段
Blastoderm	巴拉斯驮登
Blatant Thievery	公然剽窃
Blaze	焰球
Blaze Commando	火光突击兵
Blaze of Glory	荣誉之光
Blazethorn Scarecrow	焰荆稻草人
Blazing Archon	辉光统领
Blazing Blade Askari	辉刃阿斯卡力骑士
Blazing Effigy	煌炎肖像
Blazing Hellhound	炽焰地狱犬
Blazing Salvo	煌炎迸散
Blazing Shoal	煌炎群列
Blazing Specter	火光幽灵
Blazing Torch	明亮火把
Blazing Volley	烈焰齐射
Bleak Coven Vampires	峻集吸血鬼
Blessed Alliance	受福协作
Blessed Breath	祝福气息
Blessed Orator	受祝福的雄辩家
Blessed Reincarnation	受福转生
Blessed Reversal	神圣的逆转
Blessed Spirits	福佑精怪
Blessed Wind	祝福之风
Blessed Wine	祝福之酒
Blessing	祝福
Blessing of Leeches	蛭虫加持
Blessing of the Nephilim	巨神灵加持
Blessings of Nature	大自然的祝福
Blight	枯萎
Blight Herder	枯萎牧体
Blight Keeper	萎荒守卫
Blight Mamba	枯萎树蛇
Blight Sickle	枯萎镰刀
Blightcaster	枯灵法师
Blighted Agent	枯萎密探
Blighted Bat	枯萎蝙蝠
Blighted Cataract	枯萎巨瀑
Blighted Fen	枯萎泽地
Blighted Gorge	枯萎峡谷
Blighted Shaman	枯萎祭师
Blighted Steppe	枯萎草原
Blighted Woodland	枯萎林地
Blightning	脑电击
Blightsoil Druid	瘠壤德鲁伊
Blightspeaker	枯萎祷士
Blightsteel Colossus	歼铁巨像
Blightwidow	枯寡妇
Blind Creeper	盲目匍行兽
Blind Fury	盲目怒火
Blind Hunter	盲猎手
Blind Obedience	盲目服从
Blind Phantasm	盲目幻象
Blind Seer	盲先知
Blind Zealot	狂信盲者
Blind with Anger	怒令智昏
Blind-Spot Giant	盲点巨人
Blinding Angel	眩目天使
Blinding Beam	炫目光束
Blinding Drone	眩目奴兽
Blinding Flare	眩目火光
Blinding Fog	蔽目浓雾
Blinding Light	眩光一闪
Blinding Mage	眩目法师
Blinding Powder	蔽目粉末
Blinding Souleater	眩目食灵妖
Blinding Spray	致盲喷吐
Blinking Spirit	闪动精怪
Blinkmoth Infusion	光蛾灌输
Blinkmoth Nexus	光蛾连结点
Blinkmoth Urn	光蛾壶
Blinkmoth Well	光蛾泉
Blister Beetle	刺螫甲虫
Blistercoil Weird	焦盘怪奇
Blistergrub	刺螫幼虫
Blistering Barrier	迅猛障壁
Blistering Dieflyn	迅猛戴夫林
Blistering Firecat	迅猛火焰猫
Blisterpod	迅孳种
Blisterstick Shaman	闪刺祭师
Blitz Hellion	闪击地狱兽
Blizzard	冰风雪
Blizzard Elemental	暴风雪元素
Blizzard Specter	暴风雪幽灵
Bloated Toad	鼓胀青蛙
Blockade Runner	封锁线奔越者
Blockbuster	巨型炸弹
Blood (Flesh/Blood)	鲜血 (肉身/鲜血)
Blood Artist	鲜血画家
Blood Bairn	鲜血童子
Blood Baron of Vizkopa	伟柯帕血爵
Blood Celebrant	黯血主祭
Blood Clock	鲜血时计
Blood Crypt	血腥墓穴
Blood Cultist	血腥教众
Blood Feud	不共血仇
Blood Frenzy	热血沸腾
Blood Funnel	血腥蓄势
Blood Host	血宴东主
Blood Hound	血腥猎犬
Blood Knight	血红骑士
Blood Lust	嗜血之欲
Blood Mist	血腥迷雾
Blood Moon	腥红之月
